imdb_id,title,release_year,budget,production_companies,production_countries,spoken_languages
tt0066921,A Clockwork Orange,1971,2200000,"Warner Bros. Pictures, Hawk Films","United Kingdom, United States of America",English
tt0421715,The Curious Case of Benjamin Button,2008,150000000,"Paramount, Warner Bros. Pictures, The Kennedy/Marshall Company",United States of America,English
tt0088247,The Terminator,1984,6400000,"Orion Pictures, Pacific Western, Hemdale Film, Cinema 84, Euro Film Funding","United Kingdom, United States of America","English, Spanish"
tt0096874,Back to the Future Part II,1989,40000000,"Universal Pictures, Amblin Entertainment",United States of America,English
tt0103064,Terminator 2: Judgment Day,1991,102000000,"Lightstorm Entertainment, Carolco Pictures, Pacific Western, Le Studio Canal+","France, United States of America","English, Spanish"
tt0099685,GoodFellas,1990,25000000,Winkler Films,United States of America,"Italian, English"
tt0780504,Drive,2011,15000000,"FilmDistrict, Bold Films, Marc Platt Productions, OddLot Entertainment, Motel Movies, Newbridge Film Capital",United States of America,English
tt1663662,Pacific Rim,2013,180000000,"Double Dare You Productions, Legendary Pictures",United States of America,"Cantonese, English, Japanese, Russian"
tt1951266,The Hunger Games: Mockingjay - Part 2,2015,160000000,"Lionsgate, Color Force, Studio Babelsberg","Germany, United States of America",English
tt1772341,Wreck-It Ralph,2012,165000000,"Walt Disney Animation Studios, Walt Disney Pictures",United States of America,English
tt0246578,Donnie Darko,2001,6000000,"Flower Films, Gaylord Films, Adam Fields Productions, Pandora Cinema",United States of America,English
tt1637725,Ted,2012,50000000,"Universal Pictures, MRC, Fuzzy Door Productions, Bluegrass Films, Smart Entertainment",United States of America,English
tt1343092,The Great Gatsby,2013,105000000,"Spectrum Films, Village Roadshow Pictures, Bazmark Films, Red Wagon Entertainment, Warner Bros. Pictures, A+E Studios","United States of America, Australia",English
tt3521164,Moana,2016,150000000,"Walt Disney Pictures, Walt Disney Animation Studios, Hurwitz Creative",United States of America,English
tt5580390,The Shape of Water,2017,19500000,"Double Dare You Productions, Fox Searchlight Pictures, Bull Productions, TSG Entertainment",United States of America,"English, Russian"
tt0082971,Raiders of the Lost Ark,1981,18000000,"Paramount, Lucasfilm Ltd.",United States of America,"English, Spanish, German, Hebrew, Arabic, Nepali"
tt1156398,Zombieland,2009,23600000,"Pariah, Columbia Pictures, Relativity Media",United States of America,English
tt2277860,Finding Dory,2016,200000000,"Pixar, Walt Disney Pictures",United States of America,English
tt2674426,Me Before You,2016,20000000,"New Line Cinema, Sunswept Entertainment, Metro-Goldwyn-Mayer",United States of America,English
tt8579674,1917,2019,100000000,"DreamWorks Pictures, Reliance Entertainment, New Republic Pictures, Neal Street Productions, Mogambo Films, Amblin Partners","India, Spain, United Kingdom, United States of America","English, French, German"
tt5726616,Call Me by Your Name,2017,4000000,"La Cinéfacture, RT Features, Frenesy Film, Water's End Productions, M.Y.R.A. Entertainment, CineFinance Italia","Brazil, France, Italy, United States of America","French, English, Italian"
