title,director,cast
The Edge of Seventeen,Kelly Fremon Craig,"['Hailee Steinfeld', 'Haley Lu Richardson', 'Blake Jenner', 'Kyra Sedgwick']"
The Love Witch,Anna Biller,"['Samantha Robinson', 'Gian Keys', 'Laura Waddell', 'Jeffrey Vincent Parise']"
The Innocents,Anne Fontaine,"['Lou de Laâge', 'Agata Buzek', 'Agata Kulesza', 'Vincent Macaigne']"
13TH,Ava DuVernay,"['Michelle Alexander', 'Bryan Stevenson', 'Van Jones', 'Newt Gingrich']"
Bar Bahar,Maysaloun Hamoud,"['Mouna Hawa', 'Sana Jammelieh', 'Shaden Kanboura', 'Mahmud Shalaby']"
Kedi,Ceyda Torun,[]
Weiner,Josh Kriegman,"['Anthony Weiner', 'Huma Abedin', 'Dean Obeidallah', 'Philippe Reines']"
Cameraperson,Kirsten Johnson,"['Kirsten Johnson', 'Roger Phenix']"
Things to Come,Mia Hansen-Løve,"['Isabelle Huppert', 'André Marcon', 'Roman Kolinka', 'Edith Scob']"
The Hunting Ground,Kirby Dick,"['Caroline Heldman', 'Kirsten Gillibrand', 'Amy Ziering', 'Kirby Dick']"
Janis: Little Girl Blue,Amy Berg,['Cat Power']
The Diary of a Teenage Girl,Marielle Heller,"['Bel Powley', 'Alexander Skarsgård', 'Kristen Wiig', 'Christopher Meloni']"
Heart of a Dog,Laurie Anderson,"['Jason Berg', 'Paul Davidson', 'Laurie Anderson', 'Sasha Grossman']"
Mustang,Deniz Gamze Ergüven,"['Günes Sensoy', 'Doga Zeynep Doguslu', 'Elit Iscan', 'Tugba Sunguroglu']"
The Second Mother,Anna Muylaert,"['Regina Casé', 'Michel Joelsas', 'Lourenço Mutarelli', 'Karine Teles']"
Dark Horse,Louise Osmond,"['Tony Kerby', 'Maureen Jones', 'Eddie Thomas']"
Sherpa,Jennifer Peedom,[]
The Fits,Anna Rose Holmer,"['Royalty Hightower', 'Makyla Burnam', 'Inayah Rodgers', 'Alexis Neblett']"
She's Beautiful When She's Angry,Mary Dore,"['Anna Nugent', 'Eleanor Holmes Norton', 'Karla Jay', 'Susan Brownmiller']"
"20,000 Days on Earth",Iain Forsyth,"['Nick Cave', 'Darian Leader', 'Blixa Bargeld', 'Kylie Minogue']"
A Girl Walks Home Alone at Night,Ana Lily Amirpour,"['Sheila Vand', 'Arash Marandi', 'Marshall Manesh', 'Mozhan Marnò']"
Citizenfour,Laura Poitras,"['Edward Snowden', 'Julian Assange', 'Jacob Appelbaum', 'William Binney']"
The Babadook,Jennifer Kent,"['Essie Davis', 'Daniel Henshall', 'Noah Wiseman', 'Hayley McElhinney']"
Girlhood,Céline Sciamma,"['Karidja Touré', 'Assa Sylla', 'Lindsay Karamoh', 'Marietou Touré']"
The Wonders,Alice Rohrwacher,"['Maria Alexandra Lungu', 'Sam Louwyck', 'Alba Rohrwacher', 'Sabine Timoteo']"
Selma,Ava DuVernay,"['David Oyelowo', 'Tom Wilkinson', 'Carmen Ejogo', 'Giovanni Ribisi']"
Gett: The Trial of Viviane Amsalem,Ronit Elkabetz,"['Ronit Elkabetz', 'Menashe Noy', 'Simon Abkarian', 'Gabi Amrani-Gur']"
Appropriate Behavior,Desiree Akhavan,"['Desiree Akhavan', 'Rebecca Henderson', 'Scott Adsit', 'Halley Feiffer']"
Enough Said,Nicole Holofcener,"['Julia Louis-Dreyfus', 'James Gandolfini', 'Catherine Keener', 'Toni Collette']"
Elaine Stritch: Shoot Me,Chiemi Karasawa,[]
The Crash Reel,Lucy Walker,"['Kevin Pearce', 'Shaun White', 'Mason Aguirre', 'Dr. Daniel Amen']"
The Selfish Giant,Clio Barnard,"['Conner Chapman', 'Shaun Thomas', 'Sean Gilder', 'Steve Evets']"
Blackfish,Gabriela Cowperthwaite,"['Tilikum', 'John Hargrove', 'Samantha Berg', 'Mark Simmons']"
The Square,Jehane Noujaim,"['Ahmed Hassan', 'Khalid Abdalla', 'Magdy Ashour', 'Ramy Essam']"
The Queen of Versailles,Lauren Greenfield,"['Lorraine Barrett', 'Jaqueline Siegel']"
West of Memphis,Amy Berg,"['Michael Baden', 'Jason Baldwin', 'John Mark Byers', 'Lorri Davis']"
Brooklyn Castle,Katie Dellamaggiore,[]
Sister,Ursula Meier,"['Léa Seydoux', 'Kacey Mottet Klein', 'Martin Compston', 'Gillian Anderson']"
Ai Weiwei: Never Sorry,Alison Klayman,"['Dan-qing Chen', 'Weiwei Ai', 'Dan Ai', 'Lao Ai']"
Lore,Cate Shortland,"['Mika Seidel', 'Ursina Lardi', 'Hans-Jochen Wagner', 'Sven Pippig']"
Stories We Tell,Sarah Polley,"['Sarah Polley', 'Michael Polley', 'Harry Gulkin']"
Wadjda,Haifaa Al-Mansour,"['Reem Abdullah', 'Waad Mohammed', 'Abdullrahman Al Gohani', 'Ahd']"
Call Me Kuchu,Katherine Fairfax Wright,['David Bahati']
Pariah,Dee Rees,"['Adepero Oduye', 'Pernell Walker', 'Aasha Davis', 'Charles Parnell']"
Being Elmo: A Puppeteer's Journey,Constance Marks,"['Kevin Clash', 'Whoopi Goldberg']"
Tomboy,Céline Sciamma,"['Zoé Héran', 'Malonn Lévana', 'Sophie Cattani', 'Mathieu Demy']"
First Position,Bess Kargman,"['Aran Bell', 'Rebecca Houseknecht', 'Joan Sebastian Zamora', 'Juliet Doherty']"
"Turn Me On, Dammit!",Jannicke Systad Jacobsen,"['Helene Bergsholm', 'Henriette Steenstrup', 'Malin Bjorhovde', 'Matias Myren']"
Sing Your Song,Susanne Rostock,"['Harry Belafonte', 'Sidney Poitier', 'Marge Champion', 'Julian Bond']"
Diana Vreeland: The Eye Has to Travel,Lisa Immordino Vreeland,"['David Bailey', 'Lillian Bassman', 'Manolo Blahnik', 'Bob Colacello']"
The Kids Are All Right,Lisa Cholodenko,"['Julianne Moore', 'Annette Bening', 'Mark Ruffalo', 'Mia Wasikowska']"
