tconst,title,release_year,genres,adjusted_budget,adjusted_domestic_gross,director_ids,director_names,production_companies,production_countries,spoken_languages
tt0454082,black christmas,2006,Horror,14035714.285714285,25320019.97619048,nm0604688,glen morgan,"Dimension Films, Metro-Goldwyn-Mayer, 2929 Productions, Hard Eight Pictures, Movie Central, Corus Entertainment","Canada, United States of America",English
tt0085811,krull,1983,"Action,Adventure,Fantasy",85228915.6626506,52145765.30120482,nm0946811,peter yates,"Barclays Mercantile Industrial Finance, Columbia Pictures","Spain, United Kingdom, Italy, United States of America",English
tt0109303,blown away,1994,"Action,Crime,Drama",59400809.71659919,63925882.785425104,nm0394280,stephen hopkins,"Trilogy Entertainment Group, Metro-Goldwyn-Mayer",United States of America,"Irish, English"
tt3387266,a united kingdom,2016,"Biography,Drama,History",18339999.999999996,5111862.35,nm1392994,amma asante,"Pathé, Yoruba Saxon Productions, Harbinger Pictures, Perfect Weekend, Film United","Czech Republic, France, United Kingdom, United States of America",English
tt0872230,my soul to take,2010,"Horror,Mystery,Thriller",36038514.442916095,21254701.3480055,nm0000127,wes craven,"Rogue, Relativity Media, Corvus Corax Productions, Mandate International",United States of America,English
tt0238112,captain corellis mandolin,2001,"Drama,Music,Romance",101190287.97289667,45319925.62394127,nm0006960,john madden,"Universal Pictures, Miramax, Working Title Films, StudioCanal","France, United Kingdom, United States of America","English, Greek, Italian, German"
tt0100514,the rookie,1990,"Action,Crime,Drama",24055087.987758227,52040474.2586075,nm0000142,clint eastwood,"Malpaso Productions, Warner Bros. Pictures",United States of America,English
tt0479500,nancy drew,2007,"Comedy,Crime,Family",30332850.9406657,38802821.82344428,nm0281598,andrew fleming,"Jerry Weintraub Productions, Virtual Studios, Warner Bros. Pictures",United States of America,English
tt0066473,tora tora tora,1970,"Action,Drama,History",206507319.58762887,239432543.5670103,"nm0281507,nm0297935,nm0557927,nm0000041","richard fleischer,kinji fukasaku,toshio masuda,akira kurosawa",20th Century Fox,"Japan, United States of America","English, Japanese"
tt0116654,the island of dr moreau,1996,"Horror,Sci-Fi,Thriller",80152963.67112811,55471285.23135755,"nm0001239,nm0822582","john frankenheimer,richard stanley",New Line Cinema,United States of America,English
tt0114857,virtuosity,1995,"Action,Crime,Sci-Fi",61889763.77952755,49508151.27559055,nm0502577,brett leonard,Paramount,United States of America,English
tt1772288,danny collins,2015,"Comedy,Drama,Music",13265822.784810126,7478031.858227848,nm1557594,dan fogelman,"ShivHans Pictures, Big Indie Pictures, Handwritten Films",United States of America,"English, Italian"
tt0095253,the great outdoors,1988,Comedy,63783601.01437024,110173493.76162298,nm0222043,howard deutch,"Universal Pictures, Hughes Entertainment",United States of America,English
tt0127723,cant hardly wait,1998,"Comedy,Romance",19288343.558282208,48913302.71411043,"nm0253323,nm0438226","harry elfont,deborah kaplan",Columbia Pictures,United States of America,English
tt2473602,get on up,2014,"Biography,Drama,Music",39847908.74524715,40604932.674271226,nm0853238,tate taylor,"Jagged Films, Imagine Entertainment, Universal Pictures",United States of America,English
tt0315297,twisted,2004,"Crime,Drama,Mystery",83218634.19798835,41933952.991000526,nm0442241,philip kaufman,"Harlequin Pictures, Paramount, Intertainment AG, Kopelson Entertainment, Blackout Productions Inc., Summit Entertainment","Germany, United States of America","Italian, Spanish, English"
